제목,댓글,내용
문버드는 진짜 악질인게,1,이 시간에도 설거지 할려고 개미들 쳐꼬시고있네 ㅋㅋㅋㅋㅋ  - dc official App
저런 병신같은 자전거래런 문버드 못가요 ㅋㅋ 누가사 매도물량보소,,ㅋㅋㅋㅋㅇㅇ
재단이 무슨 파산이냐.  수백억 수천억 해먹고 먹튀지,,ㅋㅋㅋㅋ  - dc official App
거봐.  거래소가 알트 0원 만든다고 했지 !!,,ㅇㅇ  - dc official App
[속보] 앵커 파산 이야기 나오는 중,,파산직전이다. 빨리 빼라.
■■문버드 이미 700% 올리고 상장된거임 절대 설거지당하지마라,,개미가 너무안사줘서억지로 올리면서 설거지하는거 제발 그만당해라 좀 사주지마 맵핵키고 너네 사면 금방 꼽게끔 설계되있음 좀 사지마제발 걍 사기니까  - dc official App
통장에 이정도 없는데 서울살면 병신임,,- dc official App
잡코 열종목 100배숏 잡고 잔다,,빙신들ㅋㅋ
코인은 그냥 졸라게 쉬워 ㅋㅋㅋㅋ 아스타 20배 숏 잔다이제,,ㅋㅋㅋㅋㅋㅋ
전세계 오물 코인만 상장시키는 업비트 ㅋㅋㅋㅋ,,ㅋㅋㅋㄴㄴ
질리카 ㅠ,,살려줘잉 ㅠ
선물.. 해야겠지?,,대ㅅ
앵커로 오늘 손실 어느정도 멘징했다.,,지금 리플 이삭 주워라.이제 더이상 하락없어 보인다.
늘뻔한걸 ㅋㅋㅋ 문버드 이제 상폐까지 500원 위로 없음 ㅋ 풀숏,,ㅋㅋㅋㅋㅋ
버거형님 오늘 안살려주나,,살려줘~~~화끈하게 한번 달려줘요ㅠㅠ
뻔한거 아니였나 ㅋㅋㅋㅋ 500끝 뭔 좁비트 신규는 삼전보다 무거윰,,ㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋ 신규 어차피 500이 또 끝인데 누가사 ㅋㅋㅋ 빨래질,,ㅋㅋㅋㅋㅋ
겁나서 업비트 코인 사겠노  ㅋ,,니들 많이 사라
아무도 안속지 ㅋㅋ 신규 ㅈ병신 ㅋㅋㅋㅋ 거래량도 없는데 꼬심,,ㅋㅋㅋㅋㅋㅋ
고생했다. 찐반이다. 자 드가자,,- dc official App
연구소 지인분이 얘기해주는데 양자컴퓨팅좀더잇으면 이거로 싹 해킹,,가능하고 가상 어떤암호화든 싹털릴거라는데?근데 답이 여러개가될수잇는건 못뚫리겟지만 무작위대입법으로 다 한번에뚫린다네?비트수늘린다고하는데..향후20년정도면 개발한다는데(Ai적극이용해서가능)이래도디지털금할꺼냐?진지하게고민하길빌게이츠도 지금은 코인이런건할시기가아니라고햇는데 대체요새키는 어디까지미래를내다본거냐?빌게이는 지금 smr소형원자력에 대폭투자하고잇더만..왜원자로냐?이건아직까지이해불가원자로는 폐기 아님?쓸데없는거 - dc official App
앵커기사도 아는거지 곧 상폐라 ㅋㅋ 9원에서 팬티 까지 다팔고튐,,ㅋㅋㅋㅋㅋㅋ
어렵냐?,1,코인 이든 주식이든 내려가면사고 오르면 파는거다. 어렵냐??  - dc official App
연구소 지인분이 얘기해주는데 양자컴퓨팅좀더잇으면 이거로 싹 해킹,,가능하고 가상 어떤암호화든 싹털릴거라는데?근데 답이 여러개가될수잇는건 못뚫리겟지만 무작위대입법으로 다 한번에뚫린다네?비트수늘린다고하는데..향후20년정도면 개발한다는데(Ai적극이용해서가능)이래도디지털금할꺼냐?진지하게고민하길빌게이츠도 지금은 코인이런건할시기가아니라고햇는데 대체요새키는 어디까지미래를내다본거냐?빌게이는 지금 smr소형원자력에 대폭투자하고잇더만..왜원자로냐?이건아직까지이해불가원자로는 폐기 아님?쓸데없는거 - dc official App
앵커기사도 아는거지 곧 상폐라 ㅋㅋ 9원에서 팬티 까지 다팔고튐,,ㅋㅋㅋㅋㅋㅋ
어렵냐?,1,코인 이든 주식이든 내려가면사고 오르면 파는거다. 어렵냐??  - dc official App
ㅋㅋㅋ 업비트 특기 나오네 ㅋㅋ 모조리 설거지 ㅋㅋㅋㅋ,,ㄹㄹㄹㄹ
문재앙 무현 운지중 ㅋㅋㅋㅋ,,역시 최고의 친구답누 ㅋㅋㅋㅋㅋㅋㅋㅋ
앵커,2,앵커 삿는데 어떰?
업비트이용한 숏플레이,,"업비트를 이용한 숏플레이.. 이거 원래 소수만 아는 개 꿀 플레이였는데... 




천xx이 유튜브에 공개했더라....ㅋㅋㅋ




그래서인지 개나소나 다 숏플레이 뛰어들어서... 왠만한 종목.. 다 펀비 엄청 쩔어짐.. ㅋㅋㅋ




결국 세력이 이 꼴을 못봐서... 몇일전엔 엑시, 오늘은 질리카로...  괴롭힘...ㅋㅋㅋ




이제 이것도 다 끝장날듯하다...  




혼자만 개꿀 빨면 되지....  공개한 대가로 난이도가 엄청 높아졌다...  이제 이걸로 꿀빨기 어려워짐..




기법은 공개하는게 아님...  세력이 다수가 돈버는 꼬라지를 결코 허용안해.... ㅋㅋㅋ




남의 돈 먹기 이렇게 어렵다......  이젠 업비트..  롱플레이로 전환해야할듯..."
스페이스 x 자이 합병 역대급 호재아님?,,자이가 조용하노- dc official App
신규 잔혹사는 언제 끝날까 ㅋㅋㅋㅋ 아무도 안삼 어차페 떡락,,ㅋㅋㅋㅋㅋ
코인을 안하는 이유가 뭔지 아나 ㅋ ㅡ  앵커 같은 걸레는 평생 못가,,ㅋㅋㅋㅋㅋㅋ
나 이제 곧 40살인데 거울을 보니 늙은 븅신 아재 있다,3,에버랜드나 워터파크 못가겠다가봐야 늙은 아저씨 혼자 왔다고 무시 당할거같음 8ㅅ8 그래도 작년엔 말거는사람들 간혹 있던데지금은 늙어서 안될듯  추억으로 남기고 접어야지 이제
앵커는 코인이 아냐 ㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋ
내일 졸업한다 먼저 ㅋㅋㅋ 앵커 20배 숏,,ㅎㅎㅎ
비트롱자리인게 너무티나서 할말을일었다 완전 공짜롱자리,,내가 2달전부터 74k숏익절 롱스위칭 하라고했제?ㅇㅇ 찐반이든 가짜반등이든 반등이 나올수밖에없는자리임  - dc official App
“앞에선 90도 인사… 독도·위안부 망언 쏟아낸 일본과 극우단체,18/1,"이재명 대통령이 1박 2일간의 방일 일정을 소화한 가운데, 독도를 일본 영토라고 주장하는 내용의 고문서와 지도가 공개됐다. 지난 13일 일본 시마네현은 에도시대(1603~1868년) 당시 일본인들이 독도(일본이 주장하는 명칭 다케시마) 인근에서 어업 활동을 했음을 기록한 고문서와 지도를 공개하는 기자회견을 열었다. 시마네현 측은 기자회견에서 ""17세기 에도막부의 허가를 받아 다케시마(독도) 근처에서 어업에 종사했던 무라카와 가문의 고문서 69장과 울릉도와 다케시마가 그려진 다케시마 지도· 마쓰시마 지도 두 점 등 총 71점을 확보했다""고 밝혔다. 시마네현이 기증받은 고문서 69점에는 당시 돗토리현 요나고시의 상인 집안인 무라카와 가문이 또 다른 가문과 어업 수익을 나누기로 약정한 내용 등이 포함된 것으로 알려졌다. 시마네현 측은 ""무라카와 가문과 또 다른 가문은 막부의 허가를 받고 다케시마와 울릉도에서 강치 사냥과 전복 어업에 종사했다""면서 ""이 문서들은 오래전부터 다케시마가 일본의 어업 활동 무대였음을 보여주는 사료""라고 주장했다. 함께 공개된 지도 두 점은 시마네현이 이를 소장하고 있던 개인으로부터 사들인 것이다. 이중 독도가 그려진 마쓰시마 지도는 17세기 말~18세기 초 제작된 것으로 추정되며 독도의 지리적 형상과 현재의 시마네현 오키 제도까지의 거리 정보 등이 상세히 기록돼 있다. 이번 사료 공개는 이후 보수 성향의 산케이 신문은 ""이번에 공개된 지도는 일본에서 다케시마를 상세히 묘사한 가장 오래된 지도 중 하나""라고 설명했다. 시마네현 다케시마 문제 연구 특별고문인 시모조 마사오 다쿠쇼쿠대 명예교수는 ""이번 자료들은 실제로 일본이 (다케시마를) 이용하고 있었음을 밝히는 것으로, 다케시마 문제를 논할 때 일본 영토임을 증명하는 자료가 된다""고 주장했다. 한편 지난 13일 일본을 방문한 이 대통령과 다카이치 사나에 일본 총리는 정상 회담을 통해 양국의 협력 관계를 강화하고, 경제 및 사회 분야에서의 실질적인 협력 방안을 제시했다. 다만 이번 회담이 셔틀 외교 차원에서 성사된 만큼, 일본군 위안부, 강제 징용, 독도 영유권 분쟁 등 민감한 주제는 언급되지 않았다. 한편 이번 방일 일정에서는 다카이치 총리가 13일 정상회당에 앞서 이 대통령의 숙소 앞으로 찾아가 보인 극진한 영접이 화제가 됐다. 다카이치 총리는 이 대통령이 차에서 내리자 환하게 웃으며 두 손을 앞으로 모으고 허리를 깊게 숙였다. 이어 이 대통령에게 ""안녕하세요. 제 고향에 정말 잘 오셨습니다. 기쁩니다""라고 말했다. 김유진 기자 truth@imaeil.com                                                                                                                                     중·고등학교 앞에서 일본군 '위안부' 피해자들을 모욕한 혐의를 받고 있는 단체 대표가 경찰 조사를 받습니다. 서울 서초경찰서는 모레 오전 10시 '위안부법폐지국민행동' 대표 김병헌 씨를 피의자로 불러 조사할 예정입니다. 김 씨는 지난해 말부터 소녀상이 설치된 서울 서초고와 무학여고, 성동중학교 앞에서 신고되지 않은 집회를 열고 '교정에 위안부상 세워두고 매춘 진로지도 하나' 등의 문구가 적힌 현수막을 펼쳐 든 혐의를 받고 있습니다. 앞서 김 씨는 전국 각지를 돌며 '평화의 소녀상'을 훼손하고 '위안부' 피해자들을 모욕해 논란을 일으켰습니다. 수사에 나선 경찰은 사자명예훼손과 모욕, 집시법 위반 등 혐의로 김 씨를 입건했으며, 지난달 19일 김 씨 주거지 등을 압수수색했습니다. 경찰은 당시 압수수색 영장에 ""위안부 피해자들을 비방할 목적으로 공연히 허위 사실을 적시해 명예를 훼손했다""며 ""헌법상 보호되는 표현의 자유의 한계를 명백히 일탈했다""고 적시했습니다. 또, 김 씨의 주장에 대해 ""역사적 사실에 반하는 내용""이며 '인근 학교 학생들에 대한 정서적 학대 행위'라고 규정했습니다. 경찰은 김 씨의 계속된 학교 앞 집회 신고에 '금지 통고'로 제동을 걸고 나섰지만, 김 씨는 통고를 받을 때마다 집회 시간을 1초씩 줄이며 다시 신고하고 있습니다. 조건희(conditionee@mbc.co.kr)  - dc official App"
앵커도 ai코인이야?,,.
음모론 하나 펼치자면.. ip코인 미국주식,,"미국 투자은행(IB) 에서 스토리프로토콜 ip코인를 자산으로 인정하고




편입한 나스닥에 상장된 ip스트래티지 한테 강력한 매수 의견과




8불을 목표 주가로 제시 했던데??




현재 1.5불 정도니까 거의 5배정도 높게 책정 한거임 ㄷㄷ




그만큼 포텐셜이 어마무시 하게 본건데 




이유가 보유 자산 가치 대비 지나치게 저평가돼 있다는 분석과 함께, 




인공지능(AI) 시대의 핵심 인프라로 꼽히는 스토리 생태계의 성장 잠재력을 높게 평가했다.




이거네 ㄷㄷ 역시 ai쪽 대장 대우를 받네"
질리카 개 의미 없는 매수벽 ㅅㅂ,,좀 올라라
남자들 군대 이야기 ㄹㅇ 신기햄 ㅎㄷㄷㄷㄷㄷ,1,군대는 뺄 수 있으면 빼라면서 막상 진짜로 빼면 발작함 ㄷㄷ 서로 노예자랑은 덤 군대 가기 싫다~ 왜 남자만 군대 가냐~ 하는데 방구석에서 욕만 함 ㅋㅋ 시위 할 생각도 없고 하려고 하면 조롱당함 ㅠㅠ
문버드 490층에 물렸는데 진지하게 희망 있냐 ..........,2,진지하게 좆된거 같은데이거 반등 올거같음? 아 단타치다가 씨발
니들 진짜 걱정되서 하는소린데,,요즘 같은 ㅈ같은장은 2~5%먹고 안튀고 욕심부리면 최소-30 ~ -90% 금방이다
오늘 부분 셧다운 투표 부결 되면 한파동 더 내릴듯,,ㅎㅎ
문재앙 최고점 799원 3일뒤 100원 ㅋㅋㅋㅋㅋ,1,개추눌러라ㅋㅋㅋㅋㅋㅋ당하는놈들만 당함
역시 업비트 모조리 설거지 ㅋㅋㅋㅋ,,ㅋㅋㅋㅌㅎㅎㅎㅎ
앵커 가냐?,,100원
[업비트] 코인 상세 지표,,upbitpro.k알
아니지 -50%가 아니다,,-500%는 빠져야 적정가지 ㅋㅋㅋㅋㅋㅋ설거지 ㅈㄴ하고 지하바닥 싱크홀에서 마지막 다시올리고 설거지 상폐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
잘가 앵커 ㅋㅋㅋ 저건 절대 못가지 ㅋㅋㅋ,,ㄹㄹㄹㄹ
앵커 9.6모조리 설거지 ㅋㅋㅋ 20배 숏,,ㅋㅋㅋㅋㅋ
문재앙 저점인거같지? ㅋㅋ -50%까지는 떨어져야 적정가다,1,+인거 싹빠진상태서 -50%가 적정가ㅋㅋㅋㅋㅋ
ㅈ같다.. 문재앙 타서 40만원 꼴고 하...스타게이트나 살란다...,1,언젠가 오르겠지
문새 120퍼대 시작해 나락이노 ㅋㅋ,,ㅋㅋ  - dc official App
앵커 시체 ㅈㄴ 많은코인 원툴임,,ㅇㅇ
도지코인은 앞으로 좀더 하락할까요 반등할까요?,,매수해야할지 관망해야할지모르겟네요 ㅠ
야 빗썸 지방내려간다는데 얘네 망하는거아니냐?,,ㅅㅂ이러면 업비트밖에안남아서 경쟁상대도없어지잖아
똥싸네 ㅋㅋ 앵커는 코인이 아녀 ㅋㅋㅋ 9.6이끝 한두번 당해야사지,,ㅋㅋㅋㅋㅋㅋ
앵커 호재 뭘까내일.. 지금살까;;,1,10원갈것같냐 안갈것같냐 ;
버거들 각성한다!,,ㅇㅇ ㄹㅇ- dc official App
비트코인 운전수새끼 개같이 털어먹고 유유자적하는 꼴,,때려죽이고싶네
"앵커 55분전에 떴다 내일오후5시에 강력한발표있다고,,",,그래서 그강력한게 먼데 십새끼야 시발 ㅋㅋㅋㅋㅋㅋㅋ
문재앙 지옥간닼ㅋㅋㅋ재앙이를 믿누 차라리,1,싱크홀을 믿는게 맞겠닼ㅋㅋㅋ
앵커 왜오르나 했더니 내일오후5시에 뭐 발표있네;,,ㅇㅅㅇ
문버드 지옥가고 있노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,해외 기준 벌써 반토막 씹 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
업비트 시발 좀 한개만가자 이것도아니야 저것도아니야,1,개시발 뭔데도대체
어디서 오셨어요?,,문버드요? 여기는 지케이에요.
얘기했제 ㅋㅋㅋㅋ 이스타같은거 75배 숏쳐놓음 바로빠짐,,ㅋㅋㅋㅋ
물린거 빼고 다른거 타지말고 진득히 기다려라 언젠간 살려줄,,것같지?ㅋㅋ 안살려준다 올려도 ㅈㄴ빼고 니 평단보다 밑이니까ㅋㅋㅋ지금빼고 다른거로 복구한다고? ㅋㅋ 손절하고 새로운놈으로 또 쳐물리는기여~ㅋㅋ
문재앙 원래가격 30원으로 회귀중,,ㅋㅋ
님들 오늘 얼마 벌엇음????????????????????????,2,
문버드 누가 계속매집하는데 뭘까요..?업비트바낸;,2,ㅇㅅㅇ털면 누가사고 털면누가사고 그러네 자전아닌데
문버드 누가 계속매집하는데 뭘까요..?업비트바낸;,2,ㅇㅅㅇ털면 누가사고 털면누가사고 그러네 자전아닌데
쿼크 원복해라!,,.- dc official App
비트 줄타기 ㅈ같노,,오를거면 확오르고 폭락할거면 확 폭락하든가..하
장난하나! 랠이 꽂아!,,ㄷㅈㄱㅅㄹㅁ ㅇㅇ- dc official App
이새키!죤나 친절하네!,,더올리라!- dc official App
야! 천단위로 밑짱빼냐!,,중는다!!- dc official App
코인투자자 코스프레,,ㅋㅋ
더올려!,,ㅅㅂ- dc official App
씨벨늠! 딱 1퍼 올리네 ㅋ,,니가 살 확률이 일퍼다!- dc official App
개라슥아! 학마! 쿼크 좀 팔자!,,퍼뜩 1퍼 안 퍼올리나?!- dc official App
비트 찐반시점,,고배 트레이더들 거의 다 청산에 주식시장으로 떠나고 유튜브영상 트레이더들사라지는시점 그때가 찐반이다 한참멀었다 ㅇㅈ?
지케이 또 간다,,저 세상으로
업비트 36시간도 안되서 4조원대거래량 없어짐 이거부터수사해야함,,ㄹㅇ
지케이 쿼크 감사! 합니다!,,긴장타라! ㅋㅋ ㅇㅇ- dc official App
"진짜 궁금한게, 2일전까지 4조원대거래량 다어디감? 48간만에..?",,업비트 4조원대 거래량 싹다사라진게 아이러니
문재앙 30원간다,1,30원에 1억사쥼ㅋㅋ
이더리움바바 3대장중에 하락 1등이잖어 ㅋㅋ,,ㅈㄴ 든든해
코인하다 주식판 넘어가니까 바로 수익보노 ㅋㅋ,,메꾸고 코인판 온다 다시
스토리프로토콜은 장기적으로가봅시다,1,"스토리프로토콜은 이번 언락 일정 조정을 통해 메시지를 꽤 분명하게 던졌습니다. 시장 상황에 맞춰 흔들리기보다는, 스스로 기준을 정하겠다는 쪽에 가깝습니다. 락업을 6개월 미룬 선택은 단순한 가격 방어가 아니라 구조 관리에 대한 판단입니다. 프로젝트가 바라보는 중심은 여전히 프로그래머블 IP 인프라입니다. IP와 AI가 결합되는 영역에서 실제 사용과 수요가 빠르게 형성되고 있다는 점이 배경입니다. 이 흐름에 맞춰 제품 전략과 파트너십의 우선순위도 다시 정리되고 있습니다. 토크노믹스 역시 발행 속도를 줄이고, 참여 기반으로 재정렬되는 방향입니다. 스테이킹 구조 또한 네트워크 기여 쪽으로 무게가 옮겨가고 있습니다. 이번 언락 연기는 이러한 변화들이 시장 소음에 묻히지 않도록 하기 위한 장치로 보입니다. 전체적으로 스토리프로토콜은 단기 이벤트보다 완성도를 쌓는 단계에 들어선 느낌입니다.  - dc official App"
지케이 940% 보고싶다,,보여줘
"코인은 끝났어 애들아, 왜 그런지 갈켜줘?",4,"너 같으면 제 정신 박히고서야 주식하지 코인 하겠냐?코인이 전혀 장점이 없어. 다단계 금융 싸기 코인은 이미 묻지마 유행 탈 때 거품 물고 이미 끝났다 애들아. 그 거품이 질질 흘러내리면서 빠지고 있을 뿐이고, 곧 결국 0으로 수렴해 간다. 그리고 코인 판에 돈이 안들어와. 누가 제 정신 박혔으면, 다단계 코인 판에 돈을 넣겠냐. 주식 해라 애들아. 인생 산 사람으로서 진짜 조언이야. 너가 한 달에 월급을 100만 원을 받든, 300만 원을 받든, 매달 몇 만 원씩이라도 주식을 한 주라도 두 주라도 차근차근 모아가는 게결국 큰 부자를 만드는 거야. 너가 매달 주식을 몇 만 원이라도 사서 꾸준히 모으면너는 10년 뒤에 몇 십 억을 가진 알부자가 된다. 주식을 모아 애들아. 삼성전자 주가 봐라. 25년 전에 주당 1,000원도 안 했어. 지금 20만 원 되가니까, 200배가 되 가는 거야, 배당을 빼고도. 너가 삼성전자 주식을 그 때 10만 원어치만 사 두었어도, 지금 2천만 원 있는 거야, 배당을 빼고도. 주식을 해라. 애들아. 그게 너가 부자되고, 지혜로워 지는 거야. 부자가 되는 속도도 제일 빠르다. 또, 주식은 정직한, 단순한 공부(연구)가 통하는 분야야. 다만 우직하게 삼성전자 한 개만 모아가도 된다. 밑바닥 뚫고 곧 저 세상으로 떨어질 다단계 코인은너의 모든 재산과 인생을 앗아간다."
세이코인,,참 누구랑과 다르게~
문버드 490원 꺠진다 꽉잡아라~!!,,시발~~!!!!
통장에 이정도 없는데 서울살면 정신병임ㅡㅡ,7,"내가 이정도 돈으로 월 1000정도쓰는데 삶의질 수준 100%임 근데 돈없는 십 걸베이가 서울산다고 하면 비추임 앞에 못먹는떡들 놓고 뭐하게 괴롭기만하지 음식,물건값 얼마지?  생각 안드는수준이 바로 형 수준인거다 ㅇㅋ?"
"와,, 오늘진짜 다 개쓰레기들밖에없네 단한개 30퍼가끝 ?ㅋ",,ㄷㄷ;
코인은 끝났어 애들아. 왜 그런지 갈켜줘?,,"너 같으면 제 정신 박히고서야 코인 하겠니?코인 다단계 싸기 시대는 이미 한참 전에 끝났어. 그냥 여진으로 줄줄 천천히 빠지고 있을 뿐이야. 이미 끝났어. 너 같으면 제 정신 박히고 주식하지 코인 하겠냐. 여웃돈이 없어서 주식을 못하지, 돈 있는데 주식을 하지, 코인을 하겠냐고. 애들아, 주식으로 조금씩이라도 한 주 두 주 모아서 저축해서 주식해라. 주식으로 한 주, 두 주, 차근 차근 모으는 게 진짜 큰 부자 되는 거다. 삼성전자 주가 봐라. 25년 전에 한 주에 1,000원도 안 했다. 조금 있으면 한 주에 20만 원 되가. 200배 오르는 거야. 차근 차근 주식을 모아서, 너도 부자되고, 후손들한테도 물려줘라. 지금 돈이 많이 있는 게 중요한 게 아니고, 단 1만 원이라도 주식 한 주라도 사서, 꾸준히 모아가는 게 부자 만드는 거야. 그렇게 너가 10년만 해도, 몇 십 억의 알부자가 돼."
그만속을때 안됬냐? 꼬시기반등->개미탑승->떡락->반복,,"아직도 반복되는 병신루프에 탑승해서징징거리는 디시인이 있다, 없다?"
문버드400드가자,,ㅋㅋㅋㅋ
질리카야 고맙다,,덕분에 리플로 10퍼까인거 너덕에 15퍼먹고 맨징했다- dc official App
서울특별시 사는게 존나 자존감오르네ㅡㅡ,,"것도 개십걸베이 원룸빌라,썩파트,월세전세 아니라 시세 35억이상 신축 집에 자리잡고 있는 내가 정말 자랑스럽고 매일 자존감이 오른다 지방충들 불쌍하다 서울특별시에서 못사는건 사형선고받은거와 다를게잇는가?"
코인 대한민국에  필요하냐?  없어도 됨.,,ㅇㅇ  - dc official App
쓰레기 같은 코인 .   없애라. 영구 퇴출. 불필요 하네.,,ㅇㅇ  - dc official App
문버드 찐반이다 드가자~,,ㄱㄷㄴ
쓰레기 같은 코인 .   없애라. 영구 퇴출.,,없애고 주식장을 살리자.  - dc official App
대체 누가 코인 따위를 대한민국에 가져왔나.  ㅅㅂ냔들...,,사기 인거 알면서 작정하고 대한민국에  가져왔네  - dc official App
주식해라. 추천주,,"코인 같은 다단계 금융싸기 남한테 돈 바치고, 시간 바치고, 인생 바치고 하지 말고, 




주식으로 저축하여 중장기로 꾸준히 부자되라. 




네모칸 (중장기 추천주) 

- 삼성전자, SK하이닉스

- 하나금융지주, 메리츠금융지주

- HL만도, 대한전선

- 리브스메드, 에스앤에스텍, 가온칩스

- 코오롱인더, 대우건설, 한전기술

- (키움증권, 미래에셋증권)"
ㅋㅋㅋ 아스타 같은 애만 숏쳐 저러다 죽어 늘 그렇듯 ㅋㅋ,,ㄹㅎㅎㅎ
코인 거래소 폐쇄되나 !!  폐쇄 국민 청원 급증 !!,,기사 떴다  - dc official App
문버드 상장,,빗썸도 6시에 상장함6시에 질리카 가두리도 되고상장하고 하고6시가 약속의 시간됨
문버드 400까지 다이브,,문버드 499찍는순간 추락예정
문재앙 따윌 왜사냐 30원이 적정가인데ㅋㅋ,,ㅋㅋㅋ
문버드  아직  +70%네   ㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋ  - dc official App
일하느라 못봣는데 문버드 올라탈시간 있었음?,,.
ㅆ년 같은 거래소.  빗썸.,,ㅇㅇ  - dc official App
개미 꼬시기 당한 말랑카우 없지?,,없길바래
알트 빠지는건  곧  BTC도 떡락 한다는거 !!,,ㅇㅇ  - dc official App
문버드 드가보자 복구 가즈아$,,
하락 주동자.  빗썸.  펌핌 주동자 . 업비트,,ㅇㅇ  - dc official App
시발문버드 쳐물려서 -30퍼됬네,,- dc official App
문버드 520찍고 490 지지하다가 추락,,할듯
문버드 드가보자 복구 가즈아$,,
하락 주동자.  빗썸.  펌핌 주동자 . 업비트,,ㅇㅇ  - dc official App
시발문버드 쳐물려서 -30퍼됬네,,- dc official App
문버드 520찍고 490 지지하다가 추락,,할듯
개꿀 ㅋㅋ,,ㄹㅇ
아이폰17pro가 역대 잘 팔린이유,,"인스타, 페이스북, 스레드, meta




쇼츠, 피드 전부 아이폰17pro만 노출됨













알고리즘이라고 하지만




삼성폰 유저, 인플루언서 싹 다 안띄워줌




뭐 자기나라 띄워주기야 지들 마음이지만.."
빗썸이 사용자들을 개 ㅈ으로 보는구나.   ㅅㅂ년들이.,,..  - dc official App
그만 당하고 거래소 폐쇄 청원 하자 !!,,복구 불가능 하지 않냐? 왜  가만히 있냐. 거래소 폐쇄 청원  가즈아 !!!  - dc official App
거래소 3개 동시에 돌려보는데 ㅋㅋㅋㅋ,,"거래소 3개 동시에 돌려보는데,  비트겟 계좌만 잔고 줄어드는 속도가 확실히 느림.  VIP 혜택이 시스템적으로 잘 녹아있어서 그런 듯? 문버드 이제 드가야지  - dc official App"
깜짝 수백% > 설거지>퐁퐁>잠잠>깜작 폭등 ㅇㅈㄹ,,ㅋ
주식 금 은 내린거 다 오르는데 코인은 뭐냐,,얘는 안가냐~~더 내리노ㅋ
주한미군 윤석열 데리고 대만으로 꺼지먄 안되냐?ㅡㅡ,3,니들이 좋아죽는 여왕벌 데리고 대만으로 가라ㅋㅋ윤석열 식단에 로얄젤리 넣어서 잘 키워라 미군기지는 러시아나유럽에 주면된다 꺼져라
제일 미련한짓이 도박판에 기웃거리는거다 (팩트),,"일을하면서 코인을해라 하더라도




소액으로




기름값번다고 생각하고




어느 미친놈들이 지금 코인판에




인생을 걸고있어







거짓말안치고 지금 그랬다가




진짜 인생 조진다 







경기도 존나안좋은데




회사다니던지 하루빨리 취직해라







괜히 도박판 기웃거리다가




진짜 인생십창나지말고







코인은 거래소 조작이기떄문에




바카라보다 승률안나와







나처럼 기름갑 번다고 생각하고 해라 







인생을 어느 정신나간새기들이 도박판에걸어




그런새기들도 참 불쌍




삽개추







진짜감 ㅂㅂ2"
코인 개웃기네ㅋㅋㅋ설거지퐁퐁하다가 상장무한반복,,ㅋ
아직도 코인하는 좆병신들이있노,,ㅉㅉ
아 마지막으로 가기전 한마디만 할께,,"오늘은 절대펌핑없으니까




잠들이나 자라 ㅋ




진심으로 하는 말이고




올라갈것도업고




올릴수도없다







일찍자라~




나도 드라이브갓다 자러감"
빗썸은 얼마나 ㅈ같은 거래소냐 !!  알트들  대부분  -99%,,ㅅ발년들  - dc official App
난 어차피 중견기업 회사 이제 곧 입사하는데 ㅋㅋㅋㅋㅋㅋㅋㅋ,2,"한 일주일 정도 남았네 이제




ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ




그동안만 용돈벌이로만 이용할거고







그 이후에는 주말에만하지




현생 살거임




ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ







코인에서 인생역전할려고 절대하지마라







절대 그런일도 안나올뿐더러







도박에서 인생을 거는 자체도 미친짓이다




정신들차려




하루빨리 떠나는 애들이 




진짜 돈을 버는 길이니까




정신들차려라 진심으로 하는 말이다







난 이만 22 갈꼐 내일보자 




개추 ㄳ"
유투버 코인이슈 ㅋㅋㅋㅋㅋ,,코인이슈 불장퍼즈 fake호두이 새끼들 ㅋㅋㅋㅋㅋ 욕하기도 아깝다내 주댕이 걸레되기 싫다셋중에 1등이 코인이슈다
버드야 날라가자 ㅋㅋ,,투더 클라우두
빗썸 개년들아. 그만 빼고 다 상폐시켜 !!,,ㅇㅇ  - dc official App
요즘 신규상장코인들은 상폐예정코인보다 더 심하노ㅋㅋㅋ,,올리는척하면서 바로 30% 떨구기
지케이싱크 씨발년아,,진입시드 100프로 물탓다.싱크홀 뜷려서 뒤지든가살아서 나오나 둘중 하나다.
삼전 저건 뭔데 맨날 쳐오르냐 시발,,지가 코인이야? 뭔 주식이 하루에 11.37퍼센트나 쳐오르냔고국장 맨날 쳐오르는거 열받아 미치겠네 시발 진짜
문버드 김프 다빠졌는데 다시갈것같지않냐..?ㅇㅅㅇ,,ㅇㅅㅇ
질리카 안산사람,,어쩌냐
문버드 숏치자마자 돈이복사되네,1,ㅋ
정부는 뭐하나 ㅅㅂ.주식은 계속 살리는거 찬성. 코인은 폐쇄 시키자.,,ㅇㅇ?  - dc official App
앵커 왜 안떨어지냐?,,뭐냐
